"","year","PCPI","logPCPI"
"1",1980,53.215,3.97434031149301
"2",1981,56.837,4.04018752210342
"3",1982,59.929,4.09316052819706
"4",1983,61.928,4.12597241990241
"5",1984,65.436,4.18107256573192
"6",1985,67.523,4.21246828058028
"7",1986,68.696,4.22969097337018
"8",1987,69.663,4.24366933033266
"9",1988,70.964,4.2621727061984
"10",1989,72.561,4.28442758740982
"11",1990,74.577,4.31183214868015
"12",1991,76.901,4.34251888032822
"13",1992,79.536,4.37620974935232
"14",1993,82.108,4.40803545385493
"15",1994,84.334,4.43478510516651
"16",1995,85.693,4.45077114198767
"17",1996,87.211,4.46833046974809
"18",1997,88.228,4.47992437295034
"19",1998,88.95,4.48807441411184
"20",1999,89.407,4.49319897889049
"21",2000,91.156,4.51257232452052
"22",2001,93.254,4.5353269530463
"23",2002,94.824,4.5520225417772
"24",2003,96.057,4.56494176526805
"25",2004,97.943,4.58438567680362
"26",2005,100,4.60517018598809
"27",2006,101.689,4.62191913594606
"28",2007,103.926,4.6436791074162
"29",2008,107.281,4.67545156033192
"30",2009,107.715,4.67948885023039
"31",2010,109.539,4.69628065022864
"32",2011,113.418,4.73108010885608
"33",2012,116.333,4.7564567682007
"34",2013,118.796,4.77740773632803
"35",2014,120.54,4.7919816480549
"36",2015,121.514,4.80002948248001
"37",2016,122.695,4.80970160109032
"38",2017,125.431,4.83175580657915
"39",2018,128.089,4.85272533480187
"40",2019,130.347,4.87020012515494
"41",2020,132.938,4.88988285411934
