"","fdiffPCPI","LURts"
"1",NA,1.6
"2",0.0658472106104102,2.2
"3",0.0529730060936382,3.1
"4",0.0328118917053564,3.7
"5",0.0551001458295124,3.8
"6",0.0313957148483572,3.6
"7",0.0172226927899013,3.1
"8",0.0139783569624807,3.8
"9",0.0185033758657385,2.676
"10",0.0222548812114169,2.348
"11",0.027404561270334,2.723
"12",0.030686731648065,3.151
"13",0.033690869024098,3.29
"14",0.0318257045026158,3.958
"15",0.0267496513115733,3.85
"16",0.0159860368211664,4.242
"17",0.0175593277604156,4.717
"18",0.0115939032022538,4.758
"19",0.0081500411615032,4.708
"20",0.00512456477864287,4.142
"21",0.0193733456300373,3.883
"22",0.0227546285257763,4.008
"23",0.0166955887308982,4.392
"24",0.0129192234908482,4.792
"25",0.0194439115355749,5.5
"26",0.0207845091844696,5.65
"27",0.0167489499579681,5.225
"28",0.0217599714701384,4.867
"29",0.0317724529157193,4.108
"30",0.00403728989847263,5.333
"31",0.0167917999982494,4.817
"32",0.0347994586274432,4.583
"33",0.0253766593446167,4.917
"34",0.0209509681273268,5.342
"35",0.0145739117268722,5.617
"36",0.00804783442510892,5.733
"37",0.00967211861031192,6.033
"38",0.0220542054888275,5.533
"39",0.0209695282227278,4.85
"40",0.0174747903530639,5.1
"41",0.0196827289644057,5
