State,Period,Emission
Austria,Post 2022,5.3425800154351
Belgium,Post 2022,8.990367253358835
Bulgaria,Post 2022,5.080691166344883
Croatia,Post 2022,3.723972235174616
Cyprus,Post 2022,6.877881200531913
Czechia,Post 2022,8.672272271931703
Denmark,Post 2022,8.284345157083948
Estonia,Post 2022,9.204722569395953
Finland,Post 2022,6.1390320268939425
France,Post 2022,4.817124739515955
Germany,Post 2022,7.918023965272288
Greece,Post 2022,7.773801471467539
Hungary,Post 2022,4.731985136292001
Ireland,Post 2022,9.082067762091176
Italy,Post 2022,5.618680786884264
Latvia,Post 2022,2.599222048129101
Lithuania,Post 2022,4.113819208070242
Luxembourg,Post 2022,11.479944425079204
Malta,Post 2022,8.070286427524316
Netherlands,Post 2022,9.866265583087895
Poland,Post 2022,6.7352016319908605
Portugal,Post 2022,4.590020463040322
Romania,Post 2022,4.012875661875113
Slovakia,Post 2022,5.020351694956544
Slovenia,Post 2022,4.648792439002434
Spain,Post 2022,4.6614862359202816
Sweden,Post 2022,1.2125645451876175
Austria,Pre 2022,8.644545454545455
Belgium,Pre 2022,14.903939393939396
Bulgaria,Pre 2022,6.672727272727272
Croatia,Pre 2022,4.829393939393939
Cyprus,Pre 2022,12.536666666666665
Czechia,Pre 2022,13.564848484848484
Denmark,Pre 2022,13.789393939393939
Estonia,Pre 2022,13.493636363636364
Finland,Pre 2022,9.678787878787878
France,Pre 2022,7.870606060606061
Germany,Pre 2022,12.284242424242423
Greece,Pre 2022,11.091818181818182
Hungary,Pre 2022,6.761818181818182
Ireland,Pre 2022,16.932727272727274
Italy,Pre 2022,8.515454545454546
Latvia,Pre 2022,3.2233333333333336
Lithuania,Pre 2022,5.325757575757576
Luxembourg,Pre 2022,24.58121212121212
Malta,Pre 2022,15.308181818181819
Netherlands,Pre 2022,16.325151515151514
Poland,Pre 2022,9.965151515151517
Portugal,Pre 2022,6.83060606060606
Romania,Pre 2022,5.338181818181818
Slovakia,Pre 2022,7.674242424242424
Slovenia,Pre 2022,7.1012121212121215
Spain,Pre 2022,7.749090909090909
Sweden,Pre 2022,2.166060606060606
