Canada,China,France,Italy,Qatar,South Africa,United States
112.667432969218,43.3344550616377,67.3774179817877,23.0875450886634,0.0,208.959958791186,114.85399080963
114.471175200682,41.2638358535746,81.8344930845197,28.7340859388182,76.776550922667,235.18209117446,142.380811961222
116.041579457855,57.3230494781675,73.0364753600168,27.1651169196714,90.1251748275921,244.998286733782,149.536476770003
102.370078691396,74.0221992146726,85.6152440629774,0.0,88.1392971152391,212.265471080764,137.018385168116
130.466596582731,65.1698915878309,87.3060139177311,0.0,102.03760774205,293.993488633205,145.452418312172
143.522053482469,70.7629531889935,105.940445709008,0.0,81.0743461515327,322.710975289918,163.780010169231
112.320751199607,45.5194077189422,84.7720097245586,0.0,88.9341648190308,213.52368956176,147.344852587919
138.15815488345,60.0107216359496,0.0,0.0,90.7464816090226,271.322875855492,158.380659664487
159.538505256353,83.5851042469326,0.0,0.0,114.529616064394,310.835168245607,194.953614626494
162.599381956033,81.0161272375064,0.0,0.0,103.043192168683,272.067354938061,205.766187727735
126.983151424105,64.1398334929928,0.0,0.0,70.7368301356108,289.127167600265,156.532828094102
